Time,ID,Category,Group,Event,Msg. Type,Priority,Ether Type,Src. MAC,Src. Int.,Src. Zone,Dst. MAC,Dst. Int.,Dst. Zone,Src. IP,Src. Port,Src. Name,Src.NAT IP,Src.NAT Port,In SPI,Dst. IP,Dst. Port,Dst. Name,Dst.NAT IP,Dst.NAT Port,Out SPI,IP Protocol,ICMP Type,ICMP Code,RX Bytes,TX Bytes,Access Rule,NAT Policy,User Name,Session Time,Session Type,IDP Rule,IDP Priority,HTTP OP,URL,VPN Policy,HTTP Result,Block Cat,Application,FW Action,Notes,Message
5/10/2017 7:40,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,AC:16:2D:8C:EC:8C,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,106.245.254.195,3389,,,,,185.129.148.182,39054,,,,,tcp,,,46,,,,,,,,,,,,,,Service Terminal Services TCP,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 7:42,712,Network,TCP,TCP Connection Reject,Standard Note String,Debug,2048,00:11:32:27:83:F8,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,106.245.254.198,1433,,,,,222.236.47.226,53150,,,,,tcp,,,46,,,,,,,,,,,,,,Service MS SQL,drop,,TCP connection reject received; TCP connection dropped
5/10/2017 7:42,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X0,LAN,54.202.206.19,61099,,,,,192.168.0.2,3389,,,,,tcp,,,46,,,,,,,,,,,,,,Service Terminal Services TCP,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 7:42,888,Network,TCP,TCP Connection Does Not Exist,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,23.12.233.226,80,,,,,106.245.254.194,41251,,,,,tcp,,,1500,,,,,,,,,,,,,,,drop,,TCP packet received on non-existent/closed connection; TCP packet dropped
5/10/2017 7:43,712,Network,TCP,TCP Connection Reject,Standard Note String,Debug,2048,00:11:32:27:83:F8,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,106.245.254.198,23,,,,,176.8.18.97,43263,,,,,tcp,,,46,,,,,,,,,,,,,,General Telnet,drop,,TCP connection reject received; TCP connection dropped
5/10/2017 7:43,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,AC:16:2D:8C:EC:8C,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,106.245.254.195,3389,,,,,185.129.148.182,10627,,,,,tcp,,,46,,,,,,,,,,,,,,Service Terminal Services TCP,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 7:44,712,Network,TCP,TCP Connection Reject,Standard Note String,Debug,2048,00:11:32:27:83:F8,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,106.245.254.198,23,,,,,134.249.8.89,15989,,,,,tcp,,,46,,,,,,,,,,,,,,General Telnet,drop,,TCP connection reject received; TCP connection dropped
5/10/2017 7:44,888,Network,TCP,TCP Connection Does Not Exist,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,203.133.166.45,443,,,,,106.245.254.194,49146,,,,,tcp,,,46,,,,,,,,,,,,,,,drop,,TCP packet received on non-existent/closed connection; TCP packet dropped
5/10/2017 7:44,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X0,LAN,31.207.47.5,27344,,,,,192.168.0.2,3389,,,,,tcp,,,46,,,,,,,,,,,,,,Service Terminal Services TCP,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 7:45,712,Network,TCP,TCP Connection Reject,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,176.8.57.173,4603,,,,,106.245.254.194,23,,,,,tcp,,,46,,,,,,,,,,,,,,General Telnet,drop,,TCP connection reject received; TCP connection dropped
5/10/2017 7:45,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X0,LAN,40.113.10.78,443,,,,,192.168.0.71,13487,,,,,tcp,,,46,,,,,,,,,,,,,,General HTTPS,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 7:46,712,Network,TCP,TCP Connection Reject,Standard Note String,Debug,2048,00:11:32:27:83:F8,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,106.245.254.198,23,,,,,176.8.18.97,43263,,,,,tcp,,,46,,,,,,,,,,,,,,General Telnet,drop,,TCP connection reject received; TCP connection dropped
5/10/2017 7:47,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X0,LAN,162.249.91.40,62269,,,,,192.168.0.2,3389,,,,,tcp,,,46,,,,,,,,,,,,,,Service Terminal Services TCP,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 7:47,888,Network,TCP,TCP Connection Does Not Exist,Standard Note String,Debug,2048,AC:16:2D:8C:EC:8C,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,192.168.0.2,80,,,,,106.245.254.195,30657,,,,,tcp,,,46,,,,,,,,,,,,,,,drop,,TCP packet received on non-existent/closed connection; TCP packet dropped
5/10/2017 7:48,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X0,LAN,175.203.146.114,62803,,,,,192.168.0.2,3389,,,,,tcp,,,46,,,,,,,,,,,,,,Service Terminal Services TCP,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 7:49,712,Network,TCP,TCP Connection Reject,Standard Note String,Debug,2048,00:11:32:27:83:F8,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,106.245.254.198,23,,,,,176.8.18.97,43263,,,,,tcp,,,46,,,,,,,,,,,,,,General Telnet,drop,,TCP connection reject received; TCP connection dropped
5/10/2017 7:49,888,Network,TCP,TCP Connection Does Not Exist,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,110.45.243.111,993,,,,,106.245.254.194,45992,,,,,tcp,,,84,,,,,,,,,,,,,,,drop,,TCP packet received on non-existent/closed connection; TCP packet dropped
5/10/2017 7:49,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X0,LAN,65.55.52.56,443,,,,,192.168.0.71,13552,,,,,tcp,,,46,,,,,,,,,,,,,,General HTTPS,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 7:50,888,Network,TCP,TCP Connection Does Not Exist,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,110.45.243.111,993,,,,,106.245.254.194,45992,,,,,tcp,,,84,,,,,,,,,,,,,,,drop,,TCP packet received on non-existent/closed connection; TCP packet dropped
5/10/2017 7:50,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X0,LAN,24.222.6.106,35573,,,,,192.168.0.2,3389,,,,,tcp,,,46,,,,,,,,,,,,,,Service Terminal Services TCP,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 7:50,712,Network,TCP,TCP Connection Reject,Standard Note String,Debug,2048,00:11:32:27:83:F8,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,106.245.254.198,23,,,,,176.8.18.97,43263,,,,,tcp,,,46,,,,,,,,,,,,,,General Telnet,drop,,TCP connection reject received; TCP connection dropped
5/10/2017 7:51,712,Network,TCP,TCP Connection Reject,Standard Note String,Debug,2048,00:11:32:27:83:F8,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,106.245.254.198,1433,,,,,120.34.89.235,40185,,,,,tcp,,,46,,,,,,,,,,,,,,Service MS SQL,drop,,TCP connection reject received; TCP connection dropped
5/10/2017 7:51,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,C8:F7:33:45:BF:9B,X0,LAN,18:B1:69:1A:2F:B0,X0,LAN,106.245.254.195,25406,,,,,192.168.0.2,80,,,,,tcp,,,46,,,,,,,,,,,,,,General HTTP,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 7:52,888,Network,TCP,TCP Connection Does Not Exist,Standard Note String,Debug,2048,B8:5A:73:22:0D:31,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,192.168.0.160,41093,,,,,172.217.24.46,443,,,,,tcp,,,75,,,,,,,,,,,,,,,drop,,TCP packet received on non-existent/closed connection; TCP packet dropped
5/10/2017 7:53,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X0,LAN,162.249.91.40,62188,,,,,192.168.0.2,3389,,,,,tcp,,,46,,,,,,,,,,,,,,Service Terminal Services TCP,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 7:53,712,Network,TCP,TCP Connection Reject,Standard Note String,Debug,2048,00:11:32:27:83:F8,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,106.245.254.198,23,,,,,188.19.213.140,42417,,,,,tcp,,,46,,,,,,,,,,,,,,General Telnet,drop,,TCP connection reject received; TCP connection dropped
5/10/2017 7:54,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X0,LAN,171.100.201.196,63965,,,,,192.168.0.2,3389,,,,,tcp,,,46,,,,,,,,,,,,,,Service Terminal Services TCP,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 7:54,712,Network,TCP,TCP Connection Reject,Standard Note String,Debug,2048,00:11:32:27:83:F8,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,106.245.254.198,22,,,,,5.141.215.87,25915,,,,,tcp,,,46,,,,,,,,,,,,,,General SSH,drop,,TCP connection reject received; TCP connection dropped
5/10/2017 7:54,888,Network,TCP,TCP Connection Does Not Exist,Standard Note String,Debug,2048,90:00:DB:A6:7A:0F,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,192.168.0.219,50005,,,,,52.78.76.198,443,,,,,tcp,,,46,,,,,,,,,,,,,,,drop,,TCP packet received on non-existent/closed connection; TCP packet dropped
5/10/2017 7:55,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,AC:16:2D:8C:EC:8C,X0,LAN,18:B1:69:1A:2F:B0,X0,LAN,106.245.254.195,80,,,,,192.168.0.71,13589,,,,,tcp,,,46,,,,,,,,,,,,,,General HTTP,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 7:55,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,AC:16:2D:8C:EC:8C,X0,LAN,18:B1:69:1A:2F:B0,X0,LAN,106.245.254.195,80,,,,,192.168.0.71,13593,,,,,tcp,,,46,,,,,,,,,,,,,,General HTTP,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 7:55,712,Network,TCP,TCP Connection Reject,Standard Note String,Debug,2048,00:11:32:27:83:F8,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,106.245.254.198,23,,,,,176.8.18.97,43263,,,,,tcp,,,46,,,,,,,,,,,,,,General Telnet,drop,,TCP connection reject received; TCP connection dropped
5/10/2017 7:56,888,Network,TCP,TCP Connection Does Not Exist,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,172.27.151.216,8080,,,,,106.245.254.194,60005,,,,,tcp,,,46,,,,,,,,,,,,,,,drop,,TCP packet received on non-existent/closed connection; TCP packet dropped
5/10/2017 7:56,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X0,LAN,94.56.10.122,42981,,,,,192.168.0.2,3389,,,,,tcp,,,46,,,,,,,,,,,,,,Service Terminal Services TCP,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 7:56,712,Network,TCP,TCP Connection Reject,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,176.8.57.173,4603,,,,,106.245.254.194,23,,,,,tcp,,,46,,,,,,,,,,,,,,General Telnet,drop,,TCP connection reject received; TCP connection dropped
5/10/2017 7:57,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X0,LAN,94.56.10.122,3522,,,,,192.168.0.2,3389,,,,,tcp,,,46,,,,,,,,,,,,,,Service Terminal Services TCP,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 7:57,712,Network,TCP,TCP Connection Reject,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,37.115.52.42,41342,,,,,106.245.254.194,23,,,,,tcp,,,46,,,,,,,,,,,,,,General Telnet,drop,,TCP connection reject received; TCP connection dropped
5/10/2017 7:58,888,Network,TCP,TCP Connection Does Not Exist,Standard Note String,Debug,2048,7C:01:91:BD:69:76,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,192.168.0.205,58914,,,,,23.33.155.163,443,,,,,tcp,,,46,,,,,,,,,,,,,,,drop,,TCP packet received on non-existent/closed connection; TCP packet dropped
5/10/2017 7:59,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X0,LAN,42.112.28.144,56317,,,,,192.168.0.2,3389,,,,,tcp,,,46,,,,,,,,,,,,,,Service Terminal Services TCP,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 7:59,888,Network,TCP,TCP Connection Does Not Exist,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,183.110.11.212,80,,,,,106.245.254.194,36202,,,,,tcp,,,1500,,,,,,,,,,,,,,,drop,,TCP packet received on non-existent/closed connection; TCP packet dropped
5/10/2017 7:59,712,Network,TCP,TCP Connection Reject,Standard Note String,Debug,2048,00:11:32:27:83:F8,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,106.245.254.198,23,,,,,176.8.18.97,43263,,,,,tcp,,,46,,,,,,,,,,,,,,General Telnet,drop,,TCP connection reject received; TCP connection dropped
5/10/2017 7:59,181,Network,TCP,TCP FIN Drop,Standard,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,27.0.236.36,80,,,,,106.245.254.194,36847,,,,,tcp,,,617,,,,,,,,,,,,,,,drop,,TCP FIN packet dropped 
5/10/2017 8:00,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,50:B7:C3:5D:80:CB,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,106.245.254.194,6631,,,,,23.74.19.27,80,,,,,tcp,,,46,,,,,,,,,,,,,,General HTTP,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 8:00,888,Network,TCP,TCP Connection Does Not Exist,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,182.162.74.254,443,,,,,106.245.254.194,40637,,,,,tcp,,,46,,,,,,,,,,,,,,,drop,,TCP packet received on non-existent/closed connection; TCP packet dropped
5/10/2017 8:01,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X0,LAN,108.177.97.106,443,,,,,192.168.0.160,55915,,,,,tcp,,,46,,,,,,,,,,,,,,General HTTPS,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 8:01,712,Network,TCP,TCP Connection Reject,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,122.137.140.196,46377,,,,,106.245.254.194,23,,,,,tcp,,,46,,,,,,,,,,,,,,General Telnet,drop,,TCP connection reject received; TCP connection dropped
5/10/2017 8:02,888,Network,TCP,TCP Connection Does Not Exist,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,108.177.97.94,443,,,,,106.245.254.194,7060,,,,,tcp,,,1470,,,,,,,,,,,,,,,drop,,TCP packet received on non-existent/closed connection; TCP packet dropped
5/10/2017 8:02,181,Network,TCP,TCP FIN Drop,Standard,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,108.177.97.94,443,,,,,106.245.254.194,7060,,,,,tcp,,,1189,,,,,,,,,,,,,,,drop,,TCP FIN packet dropped 
